Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend
2018-08-21,1217.41,1223.02,1232.76,1215.03,1150000.0,8,2018,1400021500.0,-0.0037153729694340276,Slight or No change
2018-08-20,1221.95,1220.66,1225.91,1208.7,1110000.0,8,2018,1356364500.0,0.005017066249948687,Slight or No change
2018-08-17,1215.85,1222.04,1226.95,1204.0,1650000.0,8,2018,2006152499.9999998,-0.006707187556165617,Slight or No change
2018-08-16,1224.06,1241.99,1243.7,1219.63,1610000.0,8,2018,1970736600.0,-0.006622194088718003,Slight or No change
2018-08-15,1232.22,1244.28,1251.98,1226.24,1850000.0,8,2018,2279607000.0,-0.02060184081262817,Slight or No change
2018-08-14,1258.14,1252.5,1260.59,1239.54,1400000.0,8,2018,1761396000.0000002,0.007608277806253172,Slight or No change
2018-08-13,1248.64,1251.2,1265.97,1247.03,1380000.0,8,2018,1723123200.0000002,-0.003089795690253916,Slight or No change
2018-08-10,1252.51,1259.18,1261.2,1247.16,1330000.0,8,2018,1665838300.0,-0.009450674596270359,Slight or No change
2018-08-09,1264.46,1262.73,1271.96,1260.1,1370000.0,8,2018,1732310200.0,0.002481507614978007,Slight or No change
2018-08-08,1261.33,1256.72,1271.72,1252.12,1720000.0,8,2018,2169487600.0,0.004371575996942267,Slight or No change
2018-08-07,1255.84,1252.01,1266.08,1251.8,2130000.0,8,2018,2674939200.0,0.014680811524881321,Slight or No change
2018-08-06,1237.67,1241.61,1242.46,1230.53,1110000.0,8,2018,1373813700.0,-0.00039574853007684485,Slight or No change
2018-08-03,1238.16,1245.18,1246.52,1229.42,1060000.0,8,2018,1312449600.0,-0.0023929805902686008,Slight or No change
2018-08-02,1241.13,1218.5,1244.41,1218.06,1740000.0,8,2018,2159566200.0,0.0066018378089036656,Slight or No change
2018-08-01,1232.99,1239.11,1245.9,1224.94,1850000.0,8,2018,2281031500.0,0.004701683479734653,Slight or No change
